city,location,price,bedrooms,baths,size,price_lakh,size_marla,price_per_sqft,bedroom_group,price_band
Lahore,"DHA Phase 6, DHA Defence",74500000,5,6,4500.0,745.0,20.0,16555.555555555555,5,5 â€“ 10 Cr
Lahore,"DHA Phase 7, DHA Defence",51500000,5,6,4500.0,515.0,20.0,11444.444444444445,5,5 â€“ 10 Cr
Lahore,"Dream Gardens, Defence Road",7500000,1,1,518.0,75.0,2.3022222222222224,14478.764478764479,1,50L â€“ 2.5 Cr
Lahore,"DHA Phase 6, DHA Defence",73000000,5,6,4500.0,730.0,20.0,16222.222222222223,5,5 â€“ 10 Cr
Lahore,"Bahria Town - Sector B, Bahria Town",5700000,1,1,472.0,57.0,2.097777777777778,12076.271186440677,1,50L â€“ 2.5 Cr
Lahore,"DHA Phase 5 - Block L, DHA Phase 5",53500000,5,6,2250.0,535.0,10.0,23777.777777777777,5,5 â€“ 10 Cr
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",97500000,5,6,4500.0,975.0,20.0,21666.666666666668,5,5 â€“ 10 Cr
Lahore,"Bahria Town - Jasmine Block, Bahria Town - Sector C",47000000,5,7,4500.0,470.0,20.0,10444.444444444445,5,2.5 â€“ 5 Cr
Lahore,"Bahria Town - Sector E, Bahria Town",5000000,1,1,450.0,50.0,2.0,11111.111111111111,1,< 50 Lakh
Lahore,"Raiwind Road, Lahore",8299000,1,1,630.0,82.99,2.8,13173.015873015873,1,50L â€“ 2.5 Cr
Lahore,"DHA Phase 6, DHA Defence",95000000,6,7,4500.0,950.0,20.0,21111.11111111111,6,5 â€“ 10 Cr
Lahore,"DHA 11 Rahbar Phase 2 - Block K, DHA 11 Rahbar Phase 2",20000000,3,4,1125.0,200.0,5.0,17777.777777777777,3,50L â€“ 2.5 Cr
Lahore,"Ali Park - Block E, Ali Park",8000000,3,3,562.0,80.0,2.497777777777778,14234.875444839858,3,50L â€“ 2.5 Cr
Lahore,"Bahria Town - Jinnah Block, Bahria Town - Sector E",20700000,3,4,1125.0,207.0,5.0,18400.0,3,50L â€“ 2.5 Cr
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",32800000,0,0,2250.0,328.0,10.0,14577.777777777777,0 (Plot),2.5 â€“ 5 Cr
Lahore,"DHA Phase 5, DHA Defence",85000000,5,6,4500.0,850.0,20.0,18888.88888888889,5,5 â€“ 10 Cr
Lahore,"DHA Phase 6, DHA Defence",378000000,6,7,9000.0,3780.0,40.0,42000.0,6,10 â€“ 50 Cr
Lahore,"Bahria Town - Block AA, Bahria Town - Sector D",18300000,3,4,1125.0,183.0,5.0,16266.666666666666,3,50L â€“ 2.5 Cr
Lahore,"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",32800000,5,6,2250.0,328.0,10.0,14577.777777777777,5,2.5 â€“ 5 Cr
